Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_30 21:17:07.672;252;I;2;1;4216;66;;1e105f15481341010d01000053009c001b0000000000fdfffdfffdfffdff00300800d41ea0190100cf738c605a04070301911e19720ed1738c60a24b03001a00f41e
21_04_30 21:17:07.672;253;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:17:08.518;255;O;1;1A;1DAD;57;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a706720
21_04_30 21:17:08.667;256;I;5;1;F204;115;;0b0e3a2237c105000000803f51b0402d90f076ade85085aaba44362d015076ad270066aa850b0e3a2237c105007596093fea69f43d5ed0973e96c647bf6d2694adc8539aac6d2e48ab850b0e3a2237c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:17:11.202;257;I;1A;1; 119;2;;ad1d
21_04_30 21:17:17.486;259;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:17:26.295;261;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:17:28.466;262;I;5;1;F204;115;;dd4e5c2337c105000000803fc22d602dfcdc90adc1dd98aa5d23452d65a186ad40cd70aa85dd4e5c2337c105007b42093f71edff3d35fd9b3e6bf846bfbd86a1ad5418a5acbd5c63ab85dd4e5c2337c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:17:29.433;263;I;1A;1;1DAA;73;;3236313a303a30303030303030303a2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a70673a313730
21_04_30 21:17:29.832;264;I;1A;1; 118;2;;ad1d
21_04_30 21:17:29.832;265;I;1A;1;1DAC;0;;
21_04_30 21:17:37.705;266;I;2;1;4216;66;;1a0057035a010400f102ea0034ffa100190000000000fdfffdfffdfffdff00300800b01eaa190100ed738c605a04070301961d19720eef738c60c04b03001900a81e
21_04_30 21:17:37.705;267;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:17:38.687;268;I;5;1;F204;115;;ee95fd2337c105000000803f5ebe722d16949dad2118a4aad66a4d2d9a178dad1a0876aa85ee95fd2337c105002712093f0728033e314d9e3e738346bf280aa9adea00abacc41c73ab85ee95fd2337c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:17:39.462;270;O;1;1A;1DAD;47;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352e6a7067
21_04_30 21:17:41.802;271;I;1A;1;1DAA;69;;3236313a3633333934393a46383839364637363a2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352e6a70673a313730
21_04_30 21:17:42.785;272;I;1A;1; 118;2;;ad1d
21_04_30 21:17:42.785;273;I;1A;1;1DAB;174;;01000000ffd8ffe1641c4578696600004d4d002a00000008000a010000040000000100000cd00101000400000001000009a0010f00020000000c00000086011000020000000a00000092011a0005000000010000009c011b000500000001000000a40128000300000001000200000132000200000014000000ac0213000300000001000100008769000400000001000000c00000039e52617370626572727950690052505f696d78323139000000
21_04_30 21:17:44.704;274;I;1A;1;1DAB;174;;020000000048000000010000004800000001323032313a30343a33302030363a33363a3030000017829a000500000001000001da829d000500000001000001e28822000300000001000300008827000300000001006400009000000700000004303232309003000200000014000001ea9004000200000014000001fe9101000700000004010203009201000a000000010000021292020005000000010000021a9203000a00000001000002229205
