Date and time[ms],Stamp,"Direction[In, Out, Undefined]",Source,Destination,Message Id,Length,Status for Tx,Data
21_04_29 21:17:28.517,49,O,1,2,  71,274,ERR,080076228b60710001000400040001001e0077228b60770001000400040001001e0078228b60750001000400040001001e007f228b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000581228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0083228b60600a01000500000085228b602a0001000400000088228b602a00010004000000
21_04_29 21:17:33.962,51,O,1,2,  71,274,ERR,08007b228b60710001000400040001001e007c228b60770001000400040001001e007d228b60750001000400040001001e0084228b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000586228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0088228b60600a0100050000008a228b602a000100040000008d228b602a00010004000000
21_04_29 21:17:40.947,53,O,1,2,  71,274,ERR,080082228b60710001000400040001001e0083228b60770001000400040001001e0084228b60750001000400040001001e008b228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000058d228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a008f228b60600a01000500000091228b602a0001000400000094228b602a00010004000000
21_04_29 21:17:45.925,55,O,1,2,  71,274,ERR,080087228b60710001000400040001001e0088228b60770001000400040001001e0089228b60750001000400040001001e0090228b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000592228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0094228b60600a01000500000096228b602a0001000400000099228b602a00010004000000
21_04_29 21:17:49.814,57,O,1,2,  71,274,ERR,08008b228b60710001000400040001001e008c228b60770001000400040001001e008d228b60750001000400040001001e0094228b6070f0010005005c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000596228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a0098228b60600a0100050000009a228b602a000100040000009d228b602a00010004000000
21_04_29 21:17:55.544,59,O,1,2,  71,274,ERR,080091228b60710001000400040001001e0092228b60770001000400040001001e0093228b60750001000400040001001e009a228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059c228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a009e228b60600a010005000000a0228b602a00010004000000a3228b602a00010004000000
21_04_29 21:17:58.940,61,O,1,2,  71,274,ERR,080094228b60710001000400040001001e0095228b60770001000400040001001e0096228b60750001000400040001001e009d228b6070f0010005005c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059f228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00a1228b60600a010005000000a3228b602a00010004000000a6228b602a00010004000000
21_04_29 21:18:01.729,63,O,1,2,  71,274,ERR,080097228b60710001000400040001001e0098228b60770001000400040001001e0099228b60750001000400040001001e00a0228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005a2228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00a4228b60600a010005000000a6228b602a00010004000000a9228b602a00010004000000
21_04_29 21:18:05.476,65,O,1,2,  71,274,ERR,08009b228b60710001000400040001001e009c228b60770001000400040001001e009d228b60750001000400040001001e00a4228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005a6228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00a8228b60600a010005000000aa228b602a00010004000000ad228b602a00010004000000
21_04_29 21:18:10.326,67,O,1,2,  71,274,ERR,0800a0228b60710001000400040001001e00a1228b60770001000400040001001e00a2228b60750001000400040001001e00a9228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005ab228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00ad228b60600a010005000000af228b602a00010004000000b2228b602a00010004000000
